"SiteName","SiteID","PrimaryUse","Borough","AreaHa","Easting","Northing","Qualifier","DataSource","DataVersion","ReleaseDate","Copyright"
"Martins Hill Park","OS_By_0560","Park","Bromley",4.8938,539883,169252,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"Mottingham Sports & Recreation","OS_By_0579","Recreation ground","Bromley",12.5477,541887,172410,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"New Franingham House","OS_By_0588","Public woodland","Bromley",2.4126,541973,171054,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"New Mill Road Riverside","OS_By_0590","Amenity green space","Bromley",2.6484,547480,169516,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"New Years Wood","OS_By_0591","Nature reserve","Bromley",23.4368,545821,160111,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"Norman Park","OS_By_0600","Park","Bromley",23.4263,541061,167397,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"Oakley Road Recreational Gardens","OS_By_0621","Formal garden","Bromley",0.8098,542101,165593,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"Okemore Gardens Greenspace","OS_By_0625","Recreation ground","Bromley",1.4392,547574,168004,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"Old Hill Common","OS_By_0629","Play space","Bromley",1.0619,545362,163336,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"Open Space at Crescent Way","OS_By_0632","Amenity green space","Bromley",0.9421,545549,164484,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"Open space at Langley gardens, Petts Wood","OS_By_0633","Amenity green space","Bromley",0.1451,543824,167398,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"Open Space at Pound Court Drive","OS_By_0634","Amenity green space","Bromley",0.4111,544834,165686,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"Open Space at Spring Gardens at Chelsfield","OS_By_0635","Amenity green space","Bromley",0.2381,546753,163955,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"Open space at St. Leonards Rise","OS_By_0636","Park","Bromley",0.3896,545211,164563,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"Open space off Andover and Allington Roads, Orpington","OS_By_0637","Amenity green space","Bromley",0.9216,545036,165956,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"Open space off Crofton lane, Crofton","OS_By_0638","Amenity green space","Bromley",0.9636,544905,166680,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"Open Space off Lovelace Avenue","OS_By_0639","Amenity green space","Bromley",0.3775,543304,167277,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"Open space off St Kilda's Road","OS_By_0640","Amenity green space","Bromley",0.3551,545821,166499,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"Open Space on Hastings Road/Gravel Road corner","OS_By_0641","Amenity green space","Bromley",0.1438,542339,166088,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"Royston Fields","OS_By_0648","Recreation ground","Bromley",1.2957,535578,169859,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"Padmall Wood","OS_By_0652","Public woodland","Bromley",12.1205,541678,164836,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"Palace Square Greenspace","OS_By_0654","Recreation ground","Bromley",0.3569,533806,170339,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"Parkfield Recreation Ground","OS_By_0661","Recreation ground","Bromley",13.3078,543026,167261,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"St. Pauls Cray Hill Country Park (under construction)","OS_By_0664","Nature reserve","Bromley",30.5735,548181,168749,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"Penge Recreation Ground","OS_By_0665","Park","Bromley",1.5887,535221,170272,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"Petlen Grove Green","OS_By_0669","Amenity green space","Bromley",0.2684,547565,166407,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"Petts Wood","OS_By_0672","Nature reserve","Bromley",53.9523,544902,168658,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"Petts Wood Recreation Ground","OS_By_0674","Recreation ground","Bromley",3.3631,544303,166831,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"Pickhurst Green and Cupola Wood","OS_By_0677","Recreation ground","Bromley",8.9561,539683,167159,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"Plaistow Green","OS_By_0683","Park","Bromley",0.5953,540413,170323,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"Poverest Recreation Ground","OS_By_0687","Recreation ground","Bromley",4.9561,546200,168027,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"Pratts Bottom Green","OS_By_0688","Common","Bromley",0.4547,547185,162151,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"Pratts Bottom Recreation Ground","OS_By_0690","Recreation ground","Bromley",0.8003,547347,162635,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"Priory Gardens","OS_By_0694","Park","Bromley",6.3596,546659,166688,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"Whyte's Woodland","OS_By_0700","Public woodland","Bromley",2.0824,543355,170871,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"Queens Garden off Kentish Way Road","OS_By_0702","Park","Bromley",1.3970,540454,169204,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"Queensmead Recreational Garden","OS_By_0703","Recreation ground","Bromley",3.1917,539689,169141,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"Ramsden Road Green","OS_By_0705","Amenity green space","Bromley",0.3372,547116,166420,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"Ramus Wood and Scrub","OS_By_0706","Public woodland","Bromley",12.9624,545215,163734,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"Recreation ground off Southfleet Road","OS_By_0710","Recreation ground","Bromley",1.5083,545263,164927,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"Recreational Ground Around Rayfield Close","OS_By_0711","Recreation ground","Bromley",1.1870,542089,167083,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"Richmal Crompton Fields","OS_By_0714","Other recreational","Bromley",8.0321,542787,166572,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"River Beck","OS_By_0718","Park","Bromley",6.1975,537654,168264,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"Riverside Close Green","OS_By_0724","Amenity green space","Bromley",0.2984,547399,169275,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"Riverside Recreation Ground (Bromley)","OS_By_0725","Recreation ground","Bromley",2.5062,547210,169276,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"Robin Hood Green Open Space","OS_By_0726","Amenity green space","Bromley",1.0998,546234,167557,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"Rushmore Hill","OS_By_0745","Public woodland","Bromley",23.5219,547599,161671,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"Salt Box Hill, SSSI LWT Reserve","OS_By_0755","Nature reserve","Bromley",7.6570,540768,160996,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"Sandway Road Greenspace","OS_By_0761","Recreation ground","Bromley",1.0624,547524,168200,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"Scadbury Country Park","OS_By_0762","Country park","Bromley",115.8073,545714,170211,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"Shaftesbury Park","OS_By_0774","Park","Bromley",5.6284,539873,170999,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"Shell Close Open Space","OS_By_0780","Amenity green space","Bromley",0.6344,542513,167191,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"Shellem Wood","OS_By_0781","Public woodland","Bromley",3.1199,544661,157560,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"Shirley Crescent Recreation Ground","OS_By_0784","Recreation ground","Bromley",1.2254,535897,167971,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"South Hill Woods Park","OS_By_0800","Park","Bromley",4.2403,539417,167979,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"Southborough Open Space","OS_By_0803","Recreation ground","Bromley",2.3979,543550,167458,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"Sparrow's Den","OS_By_0808","Playing fields","Bromley",11.7772,538610,165089,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"Spitfire Wood","OS_By_0810","Public woodland","Bromley",5.4174,541215,160141,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"Spring Park","OS_By_0811","Park","Bromley",21.7430,538156,164906,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"St George's Parish Church Beckenham","OS_By_0816","Cemetery/churchyard","Bromley",0.5357,537495,169653,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"St Martins' Church Chelsfield","OS_By_0818","Cemetery/churchyard","Bromley",1.1628,547992,164024,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"St Mary the Virgin Churchyard (Bromley)","OS_By_0820","Cemetery/churchyard","Bromley",0.8042,540600,166309,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"St Mary's Church, Plaistow","OS_By_0821","Cemetery/churchyard","Bromley",0.3625,540217,170143,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"St Mary's Cray Cemetery","OS_By_0822","Cemetery/churchyard","Bromley",2.7236,547827,168275,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"St Marys Cray Brook","OS_By_0826","Park","Bromley",8.8269,547017,167553,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"St Paul's Cray Common","OS_By_0831","Common","Bromley",29.3619,545050,169295,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"St Peter and St Paul Church Cudham","OS_By_0832","Cemetery/churchyard","Bromley",0.6692,544535,159962,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"St. Luke's Cemetery","OS_By_0837","Cemetery/churchyard","Bromley",2.8835,542668,167273,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"St. Paul's Green (Bromley)","OS_By_0839","Amenity green space","Bromley",4.1325,545347,169325,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"St. Pauls Church, New Beckenham","OS_By_0840","Cemetery/churchyard","Bromley",0.2535,536995,170410,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"St. Peter and St. Paul's Parish Church","OS_By_0841","Cemetery/churchyard","Bromley",0.4985,540115,169253,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"Stanhope Recreation Ground","OS_By_0844","Recreation ground","Bromley",2.2992,536688,168128,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"The Green (Bromley)","OS_By_0863","Amenity green space","Bromley",0.2044,546700,170411,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"The Green on Pittsmead Avenue","OS_By_0864","Amenity green space","Bromley",0.9124,540221,166606,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"The Knoll and Husseywell Park","OS_By_0869","Park","Bromley",2.9675,540279,166149,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"The Parish Church of St. Giles The Abbot, Farnborough","OS_By_0873","Cemetery/churchyard","Bromley",1.0979,544354,164067,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"The Redeemed Christian Church of God, Divine Solution Ground","OS_By_0879","Cemetery/churchyard","Bromley",0.5278,547426,169071,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"The Warren (Bromley)","OS_By_0885","Nature reserve","Bromley",12.9410,548392,167933,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"The Warren Sports Club Annexe","OS_By_0886","Playing fields","Bromley",3.3619,538339,167508,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"Tubbenden Lane Recreation Ground","OS_By_0904","Recreation ground","Bromley",1.9886,544744,164709,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"Twenty Acre Shaw","OS_By_0908","Nature reserve","Bromley",8.5591,543807,160060,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"Warren Avenue Playing Fields","OS_By_0927","Playing fields","Bromley",6.2676,538996,170253,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"Wayside Drive Wood","OS_By_0936","Amenity green space","Bromley",1.3414,542758,171627,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"Well Wood","OS_By_0937","Nature reserve","Bromley",16.7557,539865,164338,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"West Wickham Common","OS_By_0943","Common","Bromley",7.8372,539854,165249,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"Whitehall Recreation Ground","OS_By_0953","Recreation ground","Bromley",7.0808,541938,168147,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"Waldon Recreation Ground","OS_By_0955","Recreation ground","Bromley",2.1187,543261,171045,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"Wickham Church Graveyard","OS_By_0957","Cemetery/churchyard","Bromley",1.0141,538904,164822,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"Widmore Recreation Ground","OS_By_0963","Park","Bromley",1.3931,541575,169268,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"Willett Recreation Ground","OS_By_0965","Recreation ground","Bromley",2.5227,544663,168005,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"Winsford Gardens","OS_By_0967","Formal garden","Bromley",0.5166,535278,169614,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"Wood Next To Beckford Cottage","OS_By_0970","Public woodland","Bromley",1.4010,543856,159625,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"Wood South Of Downe Court Farm","OS_By_0971","Public woodland","Bromley",1.0757,543343,160406,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"Woodland West of Old Tye Avenue","OS_By_0973","Park","Bromley",0.6171,542212,159297,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"Foxhill Traffic Island","OS_By_0983","Amenity green space","Bromley",0.0997,533887,170140,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"Lullington Road","OS_By_0984","Amenity green space","Bromley",0.1775,534333,170378,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"Burham Close Play Area","OS_By_0985","Play space","Bromley",0.0528,535384,170149,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"Watermen's Square","OS_By_0986","Formal garden","Bromley",0.2768,535422,170390,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"Newbury Road Playground","OS_By_0987","Play space","Bromley",0.0544,540197,168696,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"Wharton Road","OS_By_0988","Play space","Bromley",0.0404,540735,169686,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"Fordcroft Open Space","OS_By_0989","Amenity green space","Bromley",0.4183,546721,167607,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"Hookwood Road","OS_By_0990","Amenity green space","Bromley",0.1806,547319,161973,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"Ramsden Play Area","OS_By_0991","Play space","Bromley",0.0639,547840,166107,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"Gumping Common","OS_By_0992","Common","Bromley",2.1896,544249,166055,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"Ravensbourne Local Open Space","OS_By_0993","Amenity green space","Bromley",10.7996,541726,164420,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"Marvels Wood (Lower)","OS_By_0994","Public woodland","Bromley",6.1199,541990,171978,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"Elmfield","OS_By_0995","Park","Bromley",8.7633,541525,167396,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"Beckanham Crematorium and Cemetery","OS_By_0998","Cemetery/churchyard","Bromley",14.2705,535216,168728,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"Blacklands Wood and Meadow (High Elms Country Park)","OS_By_1000","Country park","Bromley",19.2816,543939,162789,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"Cocksett Plantation (High Elms Country Park)","OS_By_1003","Country park","Bromley",3.1378,545075,163573,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"Cuckoo Wood (High Elms Country Park)","OS_By_1006","Country park","Bromley",25.3645,544325,162190,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"Formal garden and arboretum (High Elms Country Park)","OS_By_1009","Formal garden","Bromley",7.2587,544506,163362,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"Furze Bottom  (Layham's Farm)","OS_By_1010","Public woodland","Bromley",4.0704,540526,162369,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"Furze Bottom south (Ashmore Farm)","OS_By_1011","Public woodland","Bromley",5.1363,540305,161754,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"Goss Hill Wood (Hawkwood Estate)","OS_By_1012","Public woodland","Bromley",1.0049,543514,169210,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"Hangman's Corner Green","OS_By_1013","Village green","Bromley",1.1180,543595,169782,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"Hayes Street Farm Sports Field","OS_By_1015","Playing fields","Bromley",7.0622,541038,165812,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"High Elms Road verges (High Elms Country Park)","OS_By_1016","Road island/verge","Bromley",2.8882,544019,162552,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"Keston Churchyard - Triangle woods","OS_By_1022","Public woodland","Bromley",0.9699,541842,163097,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"Lilly's Wood (Bucks Cross Farm)","OS_By_1025","Public woodland","Bromley",6.6611,548118,164923,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"Parkfield Recreation Ground Woodland Strip","OS_By_1032","Walking/cycling route","Bromley",0.7580,543023,166729,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
"Pond wood (Hawkwood Estate)","OS_By_1033","Public woodland","Bromley",5.2202,543811,169065,"Centroid","Data source: various","6","July 2021","Created by Greenspace Information for Greater London CIC (GiGL) - Contains public sector information licensed under the Open Government Licence v3.0"
